YEAR	STATE	SUM	REGION
1940	WASHINGTON	16005	West
1940	WEST VIRGINIA	574	South
1940	WISCONSIN	20007	Midwest
1940	WYOMING	990	West
1941	ALABAMA	8634	South
1941	ALASKA	0	West
1941	ARIZONA	3015	West
1941	ARKANSAS	5393	South
1941	CALIFORNIA	12624	West
1941	COLORADO	7438	West
1941	CONNECTICUT	6366	Northeast
1941	DELAWARE	3489	South
1941	DISTRICT OF COLUMBIA	3730	South
1941	FLORIDA	9273	South
1941	GEORGIA	9350	South
1941	HAWAII	0	West
1941	IDAHO	511	West
1941	ILLINOIS	49021	Midwest
1941	INDIANA	13292	Midwest
1941	IOWA	4930	Midwest
1941	KANSAS	13494	Midwest
1941	KENTUCKY	17242	South
1941	LOUISIANA	871	South
1941	MAINE	4752	Northeast
1941	MARYLAND	7352	South
1941	MASSACHUSETTS	20807	Northeast
1941	MICHIGAN	61261	Midwest
1941	MINNESOTA	961	Midwest
1941	MISSISSIPPI	0	South
1941	MISSOURI	6676	Midwest
1941	MONTANA	876	West
1941	NEBRSKA	441	Midwest
1941	NEVADA	331	West
1941	NEW HAMPSHIRE	991	Northeast
1941	NEW JERSEY	44436	Northeast
1941	NEW MEXICO	3938	West
1941	NEW YORK	104747	Northeast
1941	NORTH CAROLINA	23632	South
1941	NORTH DAKOTA	1373	Midwest
1941	OHIO	78820	Midwest
1941	OKLAHOMA	2008	South
1941	OREGON	6507	West
1941	PENNSYLVANIA	100230	Northeast
1941	RHODE ISLAND	422	Northeast
1941	SOUTH CAROLINA	9457	South
1941	SOUTH DAKOTA	377	Midwest
1941	TENNESSEE	8269	South
1941	TEXAS	20305	South
1941	UTAH	1550	West
1941	VERMONT	1339	Northeast
1941	VIRGINIA	29558	South
1941	WASHINGTON	2116	West
1941	WEST VIRGINIA	11165	South
1941	WISCONSIN	31184	Midwest
1941	WYOMING	944	West
1942	ALABAMA	3712	South
1942	ALASKA	0	West
1942	ARIZONA	3884	West
1942	ARKANSAS	4602	South
1942	CALIFORNIA	94525	West
1942	COLORADO	5628	West
1942	CONNECTICUT	10537	Northeast
1942	DELAWARE	253	South
